Ticker,Name
ATKR,Atkore Inc.
ATLC,Atlanticus Holdings Corp
ATLO,AMES NATIONAL CORP
ATMU,Atmus Filtration Technologies Inc.
ATNI,"ATN International, Inc."
ATNM,"Actinium Pharmaceuticals, Inc."
ATOM,Atomera Inc
ATRA,"Atara Biotherapeutics, Inc."
ATRC,"AtriCure, Inc."
ATRI,ATRION CORP
ATRO,ASTRONICS CORP
ATSG,"Air Transport Services Group, Inc."
ATXS,"Astria Therapeutics, Inc."
AUB,Atlantic Union Bankshares Corp
AUPH,Aurinia Pharmaceuticals Inc.
AUR,"Aurora Innovation, Inc."
AURA,"Aura Biosciences, Inc."
AVA,AVISTA CORP
AVAH,"Aveanna Healthcare Holdings, Inc."
AVAV,AeroVironment Inc
AVD,AMERICAN VANGUARD CORP
AVDX,"AvidXchange Holdings, Inc."
AVIR,"Atea Pharmaceuticals, Inc."
AVNS,"AVANOS MEDICAL, INC."
AVNT,AVIENT CORP
AVNW,"AVIAT NETWORKS, INC."
AVO,"Mission Produce, Inc."
AVPT,"AvePoint, Inc."
AVTE,"Aerovate Therapeutics, Inc."
AVXL,ANAVEX LIFE SCIENCES CORP.
AWR,AMERICAN STATES WATER CO
AX,"Axos Financial, Inc."
AXGN,"Axogen, Inc."
AXL,AMERICAN AXLE & MANUFACTURING HOLDINGS INC
AXNX,"Axonics, Inc."
AXSM,"Axsome Therapeutics, Inc."
AZZ,AZZ INC
B,BARNES GROUP INC
BALY,Bally's Corp
BANC,"BANC OF CALIFORNIA, INC."
BAND,Bandwidth Inc.
BANF,BANCFIRST CORP /OK/
BANR,BANNER CORP
BARK,"Bark, Inc."
BASE,"Couchbase, Inc."
BATRA,"Atlanta Braves Holdings, Inc."
BATRK,"Atlanta Braves Holdings, Inc."
BBAI,"BigBear.ai Holdings, Inc."
BBCP,"Concrete Pumping Holdings, Inc."
BBIO,"BridgeBio Pharma, Inc."
BBSI,BARRETT BUSINESS SERVICES INC
BBUC,Brookfield Business Corp
BBW,BUILD-A-BEAR WORKSHOP INC
BCAB,"BioAtla, Inc."
BCBP,BCB BANCORP INC
BCC,BOISE CASCADE Co
BCML,BayCom Corp
BCO,BRINKS CO
BCOV,BRIGHTCOVE INC
BCPC,BALCHEM CORP
BCRX,BIOCRYST PHARMACEUTICALS INC
BDC,BELDEN INC.
BDN,BRANDYWINE REALTY TRUST
BE,Bloom Energy Corp
BEAM,Beam Therapeutics Inc.
BECN,BEACON ROOFING SUPPLY INC
BELFB,BEL FUSE INC /NJ
BFC,Bank First Corp
BFH,"BREAD FINANCIAL HOLDINGS, INC."
BFLY,"Butterfly Network, Inc."
BFS,"SAUL CENTERS, INC."
BFST,"Business First Bancshares, Inc."
BGC,"BGC Group, Inc."
BGFV,BIG 5 SPORTING GOODS Corp
BGS,"B&G Foods, Inc."
BGXX,Bright Green Corp
BH,Biglari Holdings Inc.
BHB,BAR HARBOR BANKSHARES
BHE,BENCHMARK ELECTRONICS INC
BHIL,"Benson Hill, Inc."
BHLB,BERKSHIRE HILLS BANCORP INC
BHR,Braemar Hotels & Resorts Inc.
BHRB,Burke & Herbert Financial Services Corp.
BHVN,Biohaven Ltd.
BIG,BIG LOTS INC
BIGC,"BigCommerce Holdings, Inc."
BIPC,Brookfield Infrastructure Corp
BIRD,"Allbirds, Inc."
BJRI,BJs RESTAURANTS INC
BKD,Brookdale Senior Living Inc.
BKE,BUCKLE INC
BKH,BLACK HILLS CORP /SD/
BKKT,"Bakkt Holdings, Inc."
BKSY,BlackSky Technology Inc.
BKU,"BankUnited, Inc."
BL,"BLACKLINE, INC."
BLBD,Blue Bird Corp
BLDE,"Blade Air Mobility, Inc."
BLFS,BIOLIFE SOLUTIONS INC
BLFY,Blue Foundry Bancorp
BLKB,BLACKBAUD INC
BLMN,"Bloomin' Brands, Inc."
BLNK,Blink Charging Co.
BLUE,"bluebird bio, Inc."
BLX,"FOREIGN TRADE BANK OF LATIN AMERICA, INC."
BMBL,Bumble Inc.
BMEA,"Biomea Fusion, Inc."
BMI,BADGER METER INC
BMRC,Bank of Marin Bancorp
BNL,"Broadstone Net Lease, Inc."
BOC,BOSTON OMAHA Corp
BOH,BANK OF HAWAII CORP
BOOM,DMC Global Inc.
BOOT,"Boot Barn Holdings, Inc."
BORR,Borr Drilling Ltd
BOWL,Bowlero Corp.
BOX,BOX INC
BPMC,Blueprint Medicines Corp
BPRN,"Princeton Bancorp, Inc."
BRBR,"BELLRING BRANDS, INC."
BRBS,Blue Ridge Bankshares Inc
BRCC,BRC Inc.
BRKL,BROOKLINE BANCORP INC
BRP,CALERES INC
BRSP,"BrightSpire Capital, Inc."
BRT,BRT Apartments Corp.
BRY,Berry Corp (bry)
BRZE,"Braze, Inc."
BSIG,BrightSphere Investment Group Inc.
BSRR,SIERRA BANCORP
BSVN,Bank7 Corp.
BTAI,"BioXcel Therapeutics, Inc."
BTBT,"Bit Digital, Inc"
BTMD,biote Corp.
BTU,PEABODY ENERGY CORP
BUSE,FIRST BUSEY CORP /NV/
BV,"BrightView Holdings, Inc."
BW,"Babcock & Wilcox Enterprises, Inc."
BWB,Bridgewater Bancshares Inc
BWFG,"Bankwell Financial Group, Inc."
BWMN,Bowman Consulting Group Ltd.
BXC,BlueLinx Holdings Inc.
BXMT,"BLACKSTONE MORTGAGE TRUST, INC."
BY,"BYLINE BANCORP, INC."
BYND,"BEYOND MEAT, INC."
BYON,"BEYOND, INC."
BZH,BEAZER HOMES USA INC
CABA,"Cabaletta Bio, Inc."
CAC,CAMDEN NATIONAL CORP
CADE,Cadence BanCorp
CAKE,Cheesecake Factory Inc-The
CAL,CALERES INC
CALM,CAL-MAINE FOODS INC
CALX,"CALIX, INC"
CARA,"Cara Therapeutics, Inc."
CARE,"Carter Bankshares, Inc."
CARG,"CarGurus, Inc."
CARM,Carisma Therapeutics Inc.
CARS,Cars.com Inc.
CASH,"PATHWARD FINANCIAL, INC."
CASS,CASS INFORMATION SYSTEMS INC
CATC,CAMBRIDGE BANCORP
CATO,CATO CORP
CATY,CATHAY GENERAL BANCORP
CBAN,COLONY BANKCORP INC
CBAY,"CymaBay Therapeutics, Inc."
CBL,CBL & ASSOCIATES PROPERTIES INC
CBNK,Capital Bancorp Inc
CBRL,"CRACKER BARREL OLD COUNTRY STORE, INC"
CBT,CABOT CORP
CBU,"COMMUNITY BANK SYSTEM, INC."
CBZ,"CBIZ, Inc."
CCB,COASTAL FINANCIAL CORP
CCBG,CAPITAL CITY BANK GROUP INC
CCNE,CNB FINANCIAL CORP/PA
CCO,"Clear Channel Outdoor Holdings, Inc."
CCOI,"COGENT COMMUNICATIONS HOLDINGS, INC."
CCRD,CoreCard Corp
CCRN,CROSS COUNTRY HEALTHCARE INC
CCS,"Century Communities, Inc."
CCSI,"Consensus Cloud Solutions, Inc."
CDE,"Coeur Mining, Inc."
CDLX,"Cardlytics, Inc."
CDMO,"Avid Bioservices, Inc."
CDNA,"CareDx, Inc."
CDP,COPT DEFENSE PROPERTIES
CDRE,"Cadre Holdings, Inc."
CDXS,Codexis Inc
CDZI,CADIZ INC
CECO,CECO ENVIRONMENTAL CORP
CEIX,CONSOL Energy Inc.
CELC,Celcuity Inc.
CENT,CENTRAL GARDEN & PET CO
CENTA,CENTRAL GARDEN & PET CO
CENX,CENTURY ALUMINUM CO
CERE,"Cerevel Therapeutics Holdings, Inc."
CERS,CERUS CORP
CEVA,CEVA INC
CFB,"CROSSFIRST BANKSHARES, INC."
CFFI,C & F FINANCIAL CORP
CFFN,Capitol Federal Financial Inc
CGEM,"Cullinan Oncology, Inc."
CHCO,CITY HOLDING CO
CHCT,Community Healthcare Trust Inc
CHEF,"Chefs' Warehouse, Inc."
CHGG,"CHEGG, INC"
CHMG,CHEMUNG FINANCIAL CORP
CHRD,Chord Energy Corp
CHRS,"Coherus BioSciences, Inc."
CHUY,"CHUY'S HOLDINGS, INC."
CHX,ChampionX Corp
CIFR,Cipher Mining Inc.
CIM,CHIMERA INVESTMENT CORP
CIO,"City Office REIT, Inc."
CIVB,"CIVISTA BANCSHARES, INC."
CIVI,"CIVITAS RESOURCES, INC."
CIX,COMPX INTERNATIONAL INC
CLAR,Clarus Corp
CLB,Core Laboratories NV
CLBK,"Columbia Financial, Inc."
CLDT,Chatham Lodging Trust
CLDX,"Celldex Therapeutics, Inc."
CLFD,"Clearfield, Inc."
CLMB,"Climb Global Solutions, Inc."
CLNE,Clean Energy Fuels Corp.
CLPR,Clipper Realty Inc.
CLPT,"ClearPoint Neuro, Inc."
CLSK,"CLEANSPARK, INC."
CLW,Clearwater Paper Corp
CMAX,"CareMax, Inc."
CMBM,Cambium Networks Corp
CMC,COMMERCIAL METALS Co
CMCL,Caledonia Mining Corp Plc
CMCO,COLUMBUS MCKINNON CORP
CMP,COMPASS MINERALS INTERNATIONAL INC
CMPO,"CompoSecure, Inc."
CMPR,CIMPRESS plc
CMPX,"Compass Therapeutics, Inc."
CMRE,Costamare Inc.
CMT,CORE MOLDING TECHNOLOGIES INC
CMTG,"Claros Mortgage Trust, Inc."
CMTL,COMTECH TELECOMMUNICATIONS CORP /DE/
CNDT,CONDUENT Inc
CNK,"Cinemark Holdings, Inc."
CNMD,CONMED Corp
CNNE,"Cannae Holdings, Inc."
CNO,"CNO Financial Group, Inc."
CNOB,"ConnectOne Bancorp, Inc."
CNS,"COHEN & STEERS, INC."
CNSL,"Consolidated Communications Holdings, Inc."
CNTY,CENTURY CASINOS INC /CO/
CNX,CNX Resources Corp
CNXN,PC CONNECTION INC
COCO,"Vita Coco Company, Inc."
CODI,Compass Diversified Holdings
COFS,CHOICEONE FINANCIAL SERVICES INC
COGT,"Cogent Biosciences, Inc."
COHU,COHU INC
COKE,"Coca-Cola Consolidated, Inc."
COLL,"COLLEGIUM PHARMACEUTICAL, INC"
COMM,"CommScope Holding Company, Inc."
COMP,"Compass, Inc."
COOK,"Traeger, Inc."
COOP,Mr. Cooper Group Inc.
CORT,CORCEPT THERAPEUTICS INC
COUR,"Coursera, Inc."
CPE,Callon Petroleum Co
CPF,CENTRAL PACIFIC FINANCIAL CORP
CPK,CHESAPEAKE UTILITIES CORP
CPRX,"CATALYST PHARMACEUTICALS, INC."
CPS,Cooper-Standard Holdings Inc.
CPSI,Computer Programs & Systems Inc
CPSS,"CONSUMER PORTFOLIO SERVICES, INC."
CRAI,"CRA INTERNATIONAL, INC."
CRBU,"Caribou Biosciences, Inc."
CRC,California Resources Corp
CRCT,"Cricut, Inc."
CRDA,Croda International PLC
CRDO,Credo Technology Group Holding Ltd
CRGY,Crescent Energy Co
CRK,COMSTOCK RESOURCES INC
CRMD,CorMedix Inc.
CRMT,AMERICAS CARMART INC
CRNC,Cerence Inc.
CRNX,"Crinetics Pharmaceuticals, Inc."
CRS,CARPENTER TECHNOLOGY CORP
CRSR,"Corsair Gaming, Inc."
CRVL,CORVEL CORP
CSGS,CSG SYSTEMS INTERNATIONAL INC
CSR,CENTERSPACE
CSTL,CASTLE BIOSCIENCES INC
CSTM,CONSTELLIUM SE
CSTR,"CapStar Financial Holdings, Inc."
CSV,CARRIAGE SERVICES INC
CSWI,"CSW INDUSTRIALS, INC."
CTBI,COMMUNITY TRUST BANCORP INC /KY/
CTGO,"Contango ORE, Inc."
CTKB,"Cytek Biosciences, Inc."
CTLP,"CANTALOUPE, INC."
CTO,"CTO Realty Growth, Inc."
CTOS,"Custom Truck One Source, Inc."
CTRE,"CareTrust REIT, Inc."
CTS,CTS CORP
CTXR,"Citius Pharmaceuticals, Inc."
CUBI,"Customers Bancorp, Inc."
CUE,"Cue Biopharma, Inc."
CURV,Torrid Holdings Inc.
CUTR,CUTERA INC
CVBF,CVB FINANCIAL CORP
CVCO,CAVCO INDUSTRIES INC.
CVCY,
CVGI,"Commercial Vehicle Group, Inc."
CVGW,CALAVO GROWERS INC
CVI,CVR ENERGY INC
CVLG,"COVENANT LOGISTICS GROUP, INC."
CVLT,COMMVAULT SYSTEMS INC
CVLY,CODORUS VALLEY BANCORP INC
CVNA,CARVANA CO.
CVRX,"CVRx, Inc."
CWCO,Consolidated Water Co. Ltd.
CWH,"Camping World Holdings, Inc."
CWK,Cushman & Wakefield plc
CWST,CASELLA WASTE SYSTEMS INC
CWT,CALIFORNIA WATER SERVICE GROUP
CXM,"Sprinklr, Inc."
CXW,"CoreCivic, Inc."
CYH,COMMUNITY HEALTH SYSTEMS INC
CYRX,"Cryoport, Inc."
CYTK,CYTOKINETICS INC
CZFS,CITIZENS FINANCIAL SERVICES INC
CZNC,CITIZENS & NORTHERN CORP
DAKT,DAKTRONICS INC /SD/
DAN,DANA INC
DAWN,"Day One Biopharmaceuticals, Inc."
DBI,Designer Brands Inc.
DBRG,"DigitalBridge Group, Inc."
DC,Dakota Gold Corp.
DCGO,DocGo Inc.
DCO,DUCOMMUN INC /DE/
DCOM,"Dime Community Bancshares, Inc. /NY/"
DCPH,"Deciphera Pharmaceuticals, Inc."
DDD,3D SYSTEMS CORP
DDS,"DILLARD'S, INC."
DEA,"Easterly Government Properties, Inc."
DEI,Douglas Emmett Inc
DENN,DENNY'S Corp
DFH,"Dream Finders Homes, Inc."
DFIN,"Donnelley Financial Solutions, Inc."
DFLI,Dragonfly Energy Holdings Corp.
DGICA,DONEGAL GROUP INC
DGII,DIGI INTERNATIONAL INC
DH,Definitive Healthcare Corp.
DHC,DIVERSIFIED HEALTHCARE TRUST
DHIL,DIAMOND HILL INVESTMENT GROUP INC
DHT,"DHT Holdings, Inc."
DHX,"DHI GROUP, INC."
DIN,"Dine Brands Global, Inc."
DIOD,DIODES INC /DEL/
DJCO,DAILY JOURNAL CORP
DK,"Delek US Holdings, Inc."
DLTH,DULUTH HOLDINGS INC.
DLX,DELUXE CORP
DM,"Desktop Metal, Inc."
DMRC,Digimarc CORP
DNLI,Denali Therapeutics Inc.
DNMR,"Danimer Scientific, Inc."
DNOW,DNOW Inc.
DNUT,"Krispy Kreme, Inc."
DO,"DIAMOND OFFSHORE DRILLING, INC."
DOC,"HEALTHPEAK PROPERTIES, INC."
DOCN,"DigitalOcean Holdings, Inc."
DOLE,Dole plc
DOMO,"DOMO, INC."
DOOR,MASONITE INTERNATIONAL CORP
DORM,"Dorman Products, Inc."
DOUG,Douglas Elliman Inc.
DRH,DiamondRock Hospitality Co
DRQ,Dril-Quip Inc
DRS,"Leonardo DRS, Inc."
DSGN,"Design Therapeutics, Inc."
DSGR,"Distribution Solutions Group, Inc."
DSKE,"Daseke, Inc."
DSP,Viant Technology Inc.
DTC,"Solo Brands, Inc."
DUOL,"Duolingo, Inc."
DVAX,DYNAVAX TECHNOLOGIES CORP
DX,DYNEX CAPITAL INC
DXLG,"DESTINATION XL GROUP, INC."
DXPE,DXP ENTERPRISES INC
DY,DYCOM INDUSTRIES INC
DYN,"Dyne Therapeutics, Inc."
DZSI,DZS INC.
EAF,GRAFTECH INTERNATIONAL LTD
EAT,"BRINKER INTERNATIONAL, INC"
EB,"Eventbrite, Inc."
EBC,"Eastern Bankshares, Inc."
EBF,"ENNIS, INC."
EBS,Emergent BioSolutions Inc.
EBTC,ENTERPRISE BANCORP INC /MA/
ECPG,ENCORE CAPITAL GROUP INC
ECVT,Ecovyst Inc.
EDIT,"Editas Medicine, Inc."
EE,"Excelerate Energy, Inc."
EEX,"Emerald Holding, Inc."
EFC,Ellington Financial Inc.
EFSC,ENTERPRISE FINANCIAL SERVICES CORP
EGAN,EGAIN Corp
EGBN,EAGLE BANCORP INC
EGHT,8X8 INC /DE/
EGLE,Eagle Bulk Shipping Inc.
EGRX,Eagle Pharmaceuticals Inc-DE
EGY,VAALCO ENERGY INC /DE/
EHAB,"Enhabit, Inc."
EHTH,"eHealth, Inc."
EIG,"Employers Holdings, Inc."
ELA,Envela Corp
ELF,"e.l.f. Beauty, Inc."
ELME,Elme Communities
ELVN,"Enliven Therapeutics, Inc."
EMBC,Embecta Corp.
ENFN,"Enfusion, Inc."
ENR,Energizer Holdings Inc
ENS,EnerSys
ENSG,"ENSIGN GROUP, INC"
ENTA,ENANTA PHARMACEUTICALS INC
ENV,"ENVESTNET, INC."
ENVA,"Enova International, Inc."
ENVX,Enovix Corp
EOLS,"Evolus, Inc."
EOSE,"Eos Energy Enterprises, Inc."
EP,EMPIRE PETROLEUM CORP
EPAC,ENERPAC TOOL GROUP CORP
EPC,EDGEWELL PERSONAL CARE Co
EPM,EVOLUTION PETROLEUM CORP
EPRT,"ESSENTIAL PROPERTIES REALTY TRUST, INC."
EQBK,EQUITY BANCSHARES INC
EQC,Equity Commonwealth
ERAS,"Erasca, Inc."
ERII,"Energy Recovery, Inc."
ESCA,ESCALADE INC
ESE,ESCO TECHNOLOGIES INC
ESGR,Enstar Group LTD
ESNT,Essent Group Ltd.
ESQ,"Esquire Financial Holdings, Inc."
ESRT,"Empire State Realty Trust, Inc."
ESSA,"ESSA Bancorp, Inc."
ETD,ETHAN ALLEN INTERIORS INC
ETNB,"89bio, Inc."
ETRN,Equitrans Midstream Corp
ETWO,"E2open Parent Holdings, Inc."
EU,enCore Energy Corp.
EVA,Enviva Inc.
EVBG,"EVERBRIDGE, INC."
EVBN,EVANS BANCORP INC
EVC,ENTRAVISION COMMUNICATIONS CORP
EVCM,EverCommerce Inc.
EVER,"EverQuote, Inc."
EVEX,"Eve Holding, Inc."
EVGO,EVgo Inc.
EVH,"Evolent Health, Inc."
EVI,"EVI INDUSTRIES, INC."
EVLV,"Evolv Technologies Holdings, Inc."
EVRI,Everi Holdings Inc.
EVTC,"EVERTEC, Inc."
EWCZ,"European Wax Center, Inc."
EWTX,"Edgewise Therapeutics, Inc."
EXFY,"Expensify, Inc."
EXLS,"ExlService Holdings, Inc."
EXPI,"EXP World Holdings, Inc."
EXPO,EXPONENT INC
EXTR,EXTREME NETWORKS INC
EYE,"National Vision Holdings, Inc."
EYEN,"EYENOVIA, INC."
EYPT,"EyePoint Pharmaceuticals, Inc."
FA,FIRST ADVANTAGE CORP
FARO,FARO TECHNOLOGIES INC
FATE,FATE THERAPEUTICS INC
FBIZ,First Business Financial Services Inc
FBK,FB Financial Corp
FBMS,FIRST BANCSHARES INC /MS/
FBNC,FIRST BANCORP /NC/
FBP,FIRST BANCORP /PR/
FBRT,"Franklin BSP Realty Trust, Inc."
FC,FRANKLIN COVEY CO
FCBC,FIRST COMMUNITY BANKSHARES INC /VA/
FCCO,FIRST COMMUNITY CORP /SC/
FCEL,FUELCELL ENERGY INC
FCF,FIRST COMMONWEALTH FINANCIAL CORP /PA/
FCFS,"FirstCash Holdings, Inc."
FCPT,"Four Corners Property Trust, Inc."
FDBC,FIDELITY D & D BANCORP INC
FDMT,"4D Molecular Therapeutics, Inc."
FDP,FRESH DEL MONTE PRODUCE INC
FEAM,"5E Advanced Materials, Inc."
FELE,FRANKLIN ELECTRIC CO INC
FENC,FENNEC PHARMACEUTICALS INC.
FET,"FORUM ENERGY TECHNOLOGIES, INC."
FF,FutureFuel Corp.
FFBC,FIRST FINANCIAL BANCORP /OH/
FFIC,FLUSHING FINANCIAL CORP
FFIN,FIRST FINANCIAL BANKSHARES INC
FFWM,First Foundation Inc.
FG,"F&G Annuities & Life, Inc."
FGEN,FIBROGEN INC
FHTX,Foghorn Therapeutics Inc.
FIBK,FIRST INTERSTATE BANCSYSTEM INC
FIGS,"FIGS, Inc."
FIHL,Fidelis Insurance Holdings Ltd
FIP,FTAI Infrastructure Inc.
FISI,FINANCIAL INSTITUTIONS INC
FIX,COMFORT SYSTEMS USA INC
FIZZ,NATIONAL BEVERAGE CORP
FL,"FOOT LOCKER, INC."
FLGT,"Fulgent Genetics, Inc."
FLIC,FIRST OF LONG ISLAND CORP
FLL,FULL HOUSE RESORTS INC
FLNC,"Fluence Energy, Inc."
FLNG,Flex LNG Ltd.
FLR,FLUOR CORP
FLWS,1 800 FLOWERS COM INC
FLYW,Flywire Corp
FMAO,FARMERS & MERCHANTS BANCORP INC
FMBH,"FIRST MID BANCSHARES, INC."
FMNB,FARMERS NATIONAL BANC CORP /OH/
FN,Fabrinet
FNA,"Paragon 28, Inc."
FNKO,"Funko, Inc."
FNLC,"First Bancorp, Inc /ME/"
FOA,Finance of America Companies Inc.
FOLD,"AMICUS THERAPEUTICS, INC."
FOR,Forestar Group Inc.
FORM,FORMFACTOR INC
FORR,"FORRESTER RESEARCH, INC."
FOSL,"Fossil Group, Inc."
FOXF,FOX FACTORY HOLDING CORP
FPI,Farmland Partners Inc.
FRBA,First Bank-Hamilton NJ
FRGE,"Forge Global Holdings, Inc."
FRME,FIRST MERCHANTS CORP
FRPH,"FRP HOLDINGS, INC."
FRSH,Freshworks Inc.
FRST,Primis Financial Corp.
FSBC,FIVE STAR BANCORP
FSBW,"FS Bancorp, Inc."
FSLY,"Fastly, Inc."
FSR,
FSS,FEDERAL SIGNAL CORP /DE/
FTAI,FTAI Aviation Ltd.
FTCI,"FTC Solar, Inc."
FTDR,"Frontdoor, Inc."
FUBO,fuboTV Inc. /FL
FUL,FULLER H B CO
FULT,FULTON FINANCIAL CORP
FVCB,"FVCBankcorp, Inc."
FWRD,FORWARD AIR CORP
FWRG,"First Watch Restaurant Group, Inc."
GABC,"GERMAN AMERICAN BANCORP, INC."
GAMB,Gambling.com Group Ltd
GATX,GATX CORP
